action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,15769530,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CNC1=CC(=O)C(=O)c2ccccc21)NCCc1ccccc1,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '16.47', 'le': '0.30', 'lle': '3.77', 'sei': '7.32'}",CHEMBL3632800,,CHEMBL3632800,5.51,0,http://www.openphacts.org/units/Nanomolar,2509320,=,1,1,=,,IC50,nM,,3100.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,3.1
,,15769531,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NCC(=O)N2CCCC2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '18.95', 'le': '0.35', 'lle': '4.39', 'sei': '8.10'}",CHEMBL3632799,,CHEMBL3632799,5.39,0,http://www.openphacts.org/units/Nanomolar,2509319,=,1,1,=,,IC50,nM,,4100.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,4.1
,,15769532,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CNC(=O)CNC1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '22.61', 'le': '0.42', 'lle': '5.39', 'sei': '7.34'}",CHEMBL3635003,,CHEMBL3635003,5.52,0,http://www.openphacts.org/units/Nanomolar,2512086,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,3.0
,,15769533,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NC2CCN(Cc3ccccc3)CC2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '15.21', 'le': '0.28', 'lle': '2.22', 'sei': '10.66'}",CHEMBL3635002,,CHEMBL3635002,5.27,0,http://www.openphacts.org/units/Nanomolar,2512085,=,1,1,=,,IC50,nM,,5400.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,5.4
,,15769534,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NC2CCN(Cc3ccccc3)C2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '17.52', 'le': '0.32', 'lle': '3.16', 'sei': '11.79'}",CHEMBL3635001,,CHEMBL3635001,5.82,0,http://www.openphacts.org/units/Nanomolar,2512084,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.5
,,15769535,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NCCc2ccccc2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,,CHEMBL1966084,,CHEMBL1966084,,0,http://www.openphacts.org/units/Nanomolar,2512083,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,100.0
,,15769536,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)OC(=O)NCCNC1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '15.26', 'le': '0.29', 'lle': '2.92', 'sei': '5.71'}",CHEMBL3635000,,CHEMBL3635000,4.83,0,http://www.openphacts.org/units/Nanomolar,2512082,=,1,1,=,,IC50,nM,,14900.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,14.9
,,15769537,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NCCCN2CCCC2=O)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '16.23', 'le': '0.30', 'lle': '3.44', 'sei': '7.28'}",CHEMBL3634999,,CHEMBL3634999,4.84,0,http://www.openphacts.org/units/Nanomolar,2512081,=,1,1,=,,IC50,nM,,14400.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,14.4
,,15769538,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NCCCN2CCCC2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '17.32', 'le': '0.32', 'lle': '3.05', 'sei': '9.97'}",CHEMBL3634998,,CHEMBL3634998,4.92,0,http://www.openphacts.org/units/Nanomolar,2512080,=,1,1,=,,IC50,nM,,11900.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,11.9
,,15769539,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1C=C(NCCN2CCOCC2)c2ccccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '16.27', 'le': '0.30', 'lle': '3.95', 'sei': '7.95'}",CHEMBL3634997,,CHEMBL3634997,4.66,0,http://www.openphacts.org/units/Nanomolar,2512079,=,1,1,=,,IC50,nM,,21900.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,21.9
,,15769540,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCCNC1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '22.09', 'le': '0.41', 'lle': '4.08', 'sei': '9.22'}",CHEMBL3634996,,CHEMBL3634996,5.11,0,http://www.openphacts.org/units/Nanomolar,2512078,=,1,1,=,,IC50,nM,,7800.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,7.8
,,15769541,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCNC1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '23.73', 'le': '0.44', 'lle': '4.86', 'sei': '11.73'}",CHEMBL3634995,,CHEMBL3634995,5.80,0,http://www.openphacts.org/units/Nanomolar,2512077,=,1,1,=,,IC50,nM,,1600.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.6
,,15769542,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NC1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '21.79', 'le': '0.40', 'lle': '2.90', 'sei': '10.16'}",CHEMBL3634994,,CHEMBL3634994,4.69,0,http://www.openphacts.org/units/Nanomolar,2512076,=,1,1,=,,IC50,nM,,20400.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,20.4
,,15769543,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)C1=CC(=O)C(=O)c2ccccc21,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '27.84', 'le': '0.51', 'lle': '4.25', 'sei': '14.99'}",CHEMBL3634993,,CHEMBL3634993,5.60,0,http://www.openphacts.org/units/Nanomolar,2512075,=,1,1,=,,IC50,nM,,2500.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,2.5
,,15769544,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C(=O)C(=O)C1=C2OC(C)(C)CC1,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '22.85', 'le': '0.42', 'lle': '3.46', 'sei': '11.83'}",CHEMBL2036880,,CHEMBL2036880,6.22,0,http://www.openphacts.org/units/Nanomolar,2509330,=,1,1,=,,IC50,nM,,600.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,0.6
,,15769545,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(cc1OC)C1=C(CCC(C)(C)O1)C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '18.65', 'le': '0.35', 'lle': '2.87', 'sei': '9.12'}",CHEMBL177685,,CHEMBL177685,5.64,0,http://www.openphacts.org/units/Nanomolar,2509331,=,1,1,=,,IC50,nM,,2300.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,2.3
,,15770143,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)C1=C(CCC(C)(C)O1)C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '18.50', 'le': '0.34', 'lle': '2.28', 'sei': '9.57'}",CHEMBL3632808,,CHEMBL3632808,5.04,0,http://www.openphacts.org/units/Nanomolar,2509332,=,1,1,=,,IC50,nM,,9200.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,9.2
,,15770144,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1cc(O)ccc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '19.48', 'le': '0.36', 'lle': '2.57', 'sei': '7.91'}",CHEMBL3632809,,CHEMBL3632809,5.03,0,http://www.openphacts.org/units/Nanomolar,2509333,=,1,1,=,,IC50,nM,,9300.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,9.3
,,16591829,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '22.08', 'le': '0.44', 'lle': '6.91', 'sei': '8.57'}",CHEMBL3806155,,CHEMBL3806155,10.64,0,http://www.openphacts.org/units/Nanomolar,2776457,=,1,1,=,,IC50,nM,,0.023,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.023
,,16591830,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@@H](C)c1c(NC(=O)Nc2cncc(C(F)(F)F)c2)cnc2cc(C)nn12,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '26.08', 'le': '0.50', 'lle': '6.48', 'sei': '11.01'}",CHEMBL3806279,,CHEMBL3806279,10.28,0,http://www.openphacts.org/units/Nanomolar,2776458,=,1,1,=,,IC50,nM,,0.052,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.052
,,16591831,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)c1c(NC(=O)Nc2cnc(N3CCCS3(=O)=O)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '18.55', 'le': '0.39', 'lle': '5.51', 'sei': '7.90'}",CHEMBL3805576,,CHEMBL3805576,9.61,0,http://www.openphacts.org/units/Nanomolar,2776459,=,1,1,=,,IC50,nM,,0.248,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.248
,,16591832,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cnc(-n2nccn2)c(C(F)(F)F)c1)Nc1cnc2cc(Cl)nn2c1C1CCCO1,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '20.30', 'le': '0.40', 'lle': '6.16', 'sei': '8.08'}",CHEMBL3806235,,CHEMBL3806235,10.03,0,http://www.openphacts.org/units/Nanomolar,2776460,=,1,1,=,,IC50,nM,,0.094,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.094
,,16591833,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '21.61', 'le': '0.44', 'lle': '6.75', 'sei': '8.50'}",CHEMBL3805390,,CHEMBL3805390,10.55,0,http://www.openphacts.org/units/Nanomolar,2776461,=,1,1,=,,IC50,nM,,0.028,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.028
,,16591834,[],CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)c1c(NC(=O)Nc2ccc(-n3cc(CN)cn3)c(Cl)c2)cnc2cc(Cl)nn12,,,CHEMBL3804826,ACS Med Chem Lett,2016,"{'bei': '21.49', 'le': '0.43', 'lle': '5.42', 'sei': '8.57'}",CHEMBL3806299,,CHEMBL3806299,9.87,0,http://www.openphacts.org/units/Nanomolar,2776462,=,1,1,=,,IC50,nM,,0.134,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.134
,,16591837,[],CHEMBL3807229,Inhibition of MALT1 C domain (329 to 824 residues) (unknown origin) using Ac-Trp-Leu-Arg-Ser-Arg-Cys(PT14)-NH2 as substrate preincubated for 60 mins followed by substrate addition measured after 60 mins by fluorescence lifetime-based microtitre plate reader analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1c(NC(=O)Nc2ccc(-n3cc(CN)cn3)c(Cl)c2)cnc2cc(Cl)nn12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL3804826,ACS Med Chem Lett,2016,,CHEMBL3806299,,CHEMBL3806299,,0,http://www.openphacts.org/units/Nanomolar,2776462,=,1,1,=,,IC50,nM,,0.008,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.008
,,16591838,[],CHEMBL3807229,Inhibition of MALT1 C domain (329 to 824 residues) (unknown origin) using Ac-Trp-Leu-Arg-Ser-Arg-Cys(PT14)-NH2 as substrate preincubated for 60 mins followed by substrate addition measured after 60 mins by fluorescence lifetime-based microtitre plate reader analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL3804826,ACS Med Chem Lett,2016,,CHEMBL3805390,,CHEMBL3805390,,0,http://www.openphacts.org/units/Nanomolar,2776461,=,1,1,=,,IC50,nM,,0.006,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,nM,UO_0000065,,0.006
